seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
TRANSCRIPT34121.CHR1.NIC	TRANSCRIPT34121.CHR1.NIC_ORF_1	567	+	1	349	522	174	1.0836	-0.0168296153197186	0.0928206151402113
TRANSCRIPT61117.CHR1.NNIC	TRANSCRIPT61117.CHR1.NNIC_ORF_1	1326	+	1	760	1134	375	1.0126	0.219461182863694	0.753355877597203
TRANSCRIPT61119.CHR1.NNIC	TRANSCRIPT61119.CHR1.NNIC_ORF_1	367	+	3	96	254	159	0.6275	-0.22520752136775	0.00510066269572739
TRANSCRIPT30521.CHR2.NNIC	TRANSCRIPT30521.CHR2.NNIC_ORF_1	314	+	2	29	313	285	1.062	0.18800564507733	0.536083758312119
TRANSCRIPT926.CHR3.NNIC	TRANSCRIPT926.CHR3.NNIC_ORF_1	488	+	2	368	487	120	1.0615	0.119484935699868	0.106360332202525
TRANSCRIPT32230.CHR3.NNIC	TRANSCRIPT32230.CHR3.NNIC_ORF_1	2920	+	3	1167	1301	135	0.939	-0.283762687851376	0.00694131514702364
TRANSCRIPT23187.CHR5.NNIC	TRANSCRIPT23187.CHR5.NNIC_ORF_1	2075	+	1	253	1140	888	0.7438	-0.0373261024358253	0.987003796730102
TRANSCRIPT21609.CHR6.NNIC	TRANSCRIPT21609.CHR6.NNIC_ORF_1	1170	+	3	147	509	363	0.962	0.362413615488777	0.843425435374848
TRANSCRIPT29638.CHR6.NNIC	TRANSCRIPT29638.CHR6.NNIC_ORF_2	1294	+	1	517	642	126	0.9857	0.306958331111334	0.226322836212991
TRANSCRIPT31443.CHR6.NNIC	TRANSCRIPT31443.CHR6.NNIC_ORF_1	660	+	1	214	360	147	0.8974	-0.146627269923497	0.0176996417200864
TRANSCRIPT37812.CHR6.NNIC	TRANSCRIPT37812.CHR6.NNIC_ORF_1	1061	+	3	189	437	249	1.2601	0.511516197622507	0.912687639770008
TRANSCRIPT13760.CHR9.NNIC	TRANSCRIPT13760.CHR9.NNIC_ORF_1	3249	+	3	636	1085	450	1.0887	0.122542506391474	0.821190947702795
TRANSCRIPT21664.CHR9.NNIC	TRANSCRIPT21664.CHR9.NNIC_ORF_1	1217	+	2	665	1042	378	0.9991	0.64511330732504	0.975697397152943
TRANSCRIPT15213.CHR10.NNIC	TRANSCRIPT15213.CHR10.NNIC_ORF_1	2346	+	2	1061	2197	1137	1.1789	0.437779650543517	0.999989705182674
TRANSCRIPT26863.CHR12.NNIC	TRANSCRIPT26863.CHR12.NNIC_ORF_1	2616	+	3	1404	1598	195	0.7277	-0.0675878143667245	0.0243175463275785
TRANSCRIPT26870.CHR12.NNIC	TRANSCRIPT26870.CHR12.NNIC_ORF_1	1823	+	2	395	589	195	0.7277	-0.0675878143667245	0.0253708091529163
TRANSCRIPT26885.CHR12.NNIC	TRANSCRIPT26885.CHR12.NNIC_ORF_1	657	+	2	524	655	132	0.6014	-0.260840125438065	0.00273893677569635
TRANSCRIPT33002.CHR12.NNIC	TRANSCRIPT33002.CHR12.NNIC_ORF_1	484	+	3	18	209	192	1.0176	0.199504859296147	0.271213264158952
TRANSCRIPT36523.CHR12.NNIC	TRANSCRIPT36523.CHR12.NNIC_ORF_1	2492	+	1	586	1341	756	0.99	0.153038049583174	0.992109983130749
TRANSCRIPT8598.CHR15.NNIC	TRANSCRIPT8598.CHR15.NNIC_ORF_1	1002	+	1	403	657	255	0.388	-0.127100691227932	0.0113815316645422
TRANSCRIPT13826.CHR15.NNIC	TRANSCRIPT13826.CHR15.NNIC_ORF_1	1445	+	2	518	1417	900	0.8786	0.0658948249716899	0.996278372525846
TRANSCRIPT20940.CHR17.NNIC	TRANSCRIPT20940.CHR17.NNIC_ORF_1	144	+	2	44	142	99	0.762	-0.335681305685692	0.00215232122161366
TRANSCRIPT39964.CHR19.NNIC	TRANSCRIPT39964.CHR19.NNIC_ORF_1	268	+	1	70	267	198	0.6382	-0.322680112731231	0.00455881254908962
TRANSCRIPT13458.CHR22.NNIC	TRANSCRIPT13458.CHR22.NNIC_ORF_1	1734	+	3	243	815	573	0.8944	0.243589066217766	0.954711961258722
TRANSCRIPT13844.CHR22.NNIC	TRANSCRIPT13844.CHR22.NNIC_ORF_2	499	+	1	130	276	147	0.9113	-0.0790875096130404	0.0279291069071112
