#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
transcript25470.chr1.nic	15	0.39342	5.75079345703	1	0.00349659	noncoding
transcript34121.chr1.nic	58	0.3639	9.51190185547	1	0.0356696	noncoding
transcript61117.chr1.nnic	125	0.39896	6.96405029297	1	0.687919	coding
transcript61119.chr1.nnic	53	0.36321	9.57720947266	1	0.0290077	noncoding
transcript30521.chr2.nnic	95	0.39719	10.5064086914	-1	0.157492	noncoding
transcript926.chr3.nnic	40	0.46043	4.45294189453	-1	0.0247648	noncoding
transcript32230.chr3.nnic	45	0.29279	7.95758056641	1	0.0128086	noncoding
transcript23187.chr5.nnic	296	0.43545	9.06195068359	1	0.999979	coding
transcript21609.chr6.nnic	121	0.36597	7.65045166016	1	0.44456	noncoding
transcript29638.chr6.nnic	84	0.31852	9.44305419922	1	0.0663682	noncoding
transcript31443.chr6.nnic	49	0.34281	8.90850830078	1	0.0184861	noncoding
transcript37812.chr6.nnic	83	0.46874	8.85479736328	1	0.341521	noncoding
transcript13760.chr9.nnic	150	0.3248	6.39593505859	1	0.736489	coding
transcript21664.chr9.nnic	126	0.36871	5.65484619141	1	0.715529	coding
transcript15213.chr10.nnic	379	0.47744	5.23529052734	1	1	coding
transcript26863.chr12.nnic	65	0.2831	10.2553100586	1	0.0364108	noncoding
transcript26870.chr12.nnic	65	0.25289	10.2553100586	1	0.0435878	noncoding
transcript26885.chr12.nnic	44	0.34056	10.1388549805	-1	0.154987	noncoding
transcript33002.chr12.nnic	64	0.43311	11.567565918	1	0.11559	noncoding
transcript36523.chr12.nnic	252	0.36686	6.44818115234	1	0.99954	coding
transcript8598.chr15.nnic	85	0.31649	9.57086181641	1	0.0681574	noncoding
transcript13826.chr15.nnic	300	0.4445	6.00457763672	1	0.999998	coding
transcript20940.chr17.nnic	33	0.26421	5.89300537109	-1	0.115113	noncoding
transcript39964.chr19.nnic	66	0.39838	10.0444946289	-1	0.116573	noncoding
transcript13458.chr22.nnic	191	0.31859	7.52337646484	1	0.901821	coding
transcript13844.chr22.nnic	54	0.33319	10.3444213867	-1	0.169028	noncoding
